level,set_no,question_no,question_type,script,question,choice_a,choice_b,choice_c,choice_d,answer,script_ja,question_ja,choice_a_ja,choice_b_ja,choice_c_ja,choice_d_ja,explanation,eiken_likeness_score,difficulty_score,naturalness_score,choice_quality_score,trap_quality_score,topic_variety_score,educational_value_score,overall_score,evaluation_comment
準2級プラス,1,1,短い会話,"A student and a staff member are talking about school club schedule. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Ignore the advice and wait a week.,Follow the staff member's suggestion right away.,Ask a different office about an unrelated issue.,C,生徒と職員がSchool club scheduleについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,アドバイスを無視して1週間待つ。,職員の提案にすぐに従う。,別の窓口で関係のない問題について尋ねる。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,2,1,短い会話,"A student and a staff member are talking about part-time job shift. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ignore the advice and wait a week.,Ask a different office about an unrelated issue.,Cancel the plan without checking details.,Follow the staff member's suggestion right away.,D,生徒と職員がPart-time job shiftについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,アドバイスを無視して1週間待つ。,別の窓口で関係のない問題について尋ねる。,詳細を確認せずに計画をキャンセルする。,職員の提案にすぐに従う。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,3,1,アナウンス,"A student and a staff member are talking about train delay. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ignore the advice and wait a week.,Follow the staff member's suggestion right away.,Cancel the plan without checking details.,Ask a different office about an unrelated issue.,B,生徒と職員がTrain delayについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,アドバイスを無視して1週間待つ。,職員の提案にすぐに従う。,詳細を確認せずに計画をキャンセルする。,別の窓口で関係のない問題について尋ねる。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,4,1,アナウンス,"A student and a staff member are talking about library rule. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,Ignore the advice and wait a week.,C,生徒と職員がLibrary ruleについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,アドバイスを無視して1週間待つ。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,5,1,インタビュー,"A student and a staff member are talking about healthy breakfast. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,Ignore the advice and wait a week.,Cancel the plan without checking details.,B,生徒と職員がHealthy breakfastについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,アドバイスを無視して1週間待つ。,詳細を確認せずに計画をキャンセルする。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,6,1,短い会話,"A student and a staff member are talking about weekend plan change. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ask a different office about an unrelated issue.,Cancel the plan without checking details.,Follow the staff member's suggestion right away.,Ignore the advice and wait a week.,C,生徒と職員がWeekend plan changeについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,別の窓口で関係のない問題について尋ねる。,詳細を確認せずに計画をキャンセルする。,職員の提案にすぐに従う。,アドバイスを無視して1週間待つ。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,7,1,短い会話,"A student and a staff member are talking about lost umbrella. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ignore the advice and wait a week.,Cancel the plan without checking details.,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,D,生徒と職員がLost umbrellaについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,アドバイスを無視して1週間待つ。,詳細を確認せずに計画をキャンセルする。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,8,1,アナウンス,"A student and a staff member are talking about zoo event. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Follow the staff member's suggestion right away.,Ask a different office about an unrelated issue.,Ignore the advice and wait a week.,B,生徒と職員がZoo eventについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,職員の提案にすぐに従う。,別の窓口で関係のない問題について尋ねる。,アドバイスを無視して1週間待つ。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,9,1,説明文,"A student and a staff member are talking about online class tip. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ignore the advice and wait a week.,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,Cancel the plan without checking details.,C,生徒と職員がOnline class tipについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,アドバイスを無視して1週間待つ。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,詳細を確認せずに計画をキャンセルする。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,10,1,短い会話,"A student and a staff member are talking about shopping discount. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ignore the advice and wait a week.,Cancel the plan without checking details.,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,D,生徒と職員がShopping discountについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,アドバイスを無視して1週間待つ。,詳細を確認せずに計画をキャンセルする。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
